STATION,NAME,DATE,CDSD,EMSN,TAVG
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-01,0,3.6,19.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-02,0,2.7,23.7
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-03,0,5,39.1
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-04,35,1.1,53.3
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-05,93,0,62.5
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-06,149,0,64.6
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-07,353,0,71.5
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-08,488,0,68.9
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-09,607,0,64.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-10,609,0,53.2
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-11,609,3.2,41
USC00200230,"ANN ARBOR U OF MICH, MI US",1985-12,609,2.5,22.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-01,0,2.4,24.6
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-02,0,3.6,24.9
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-03,2,3.4,38.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-04,11,1.5,50.3
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-05,55,0,60.5
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-06,176,0,67.7
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-07,452,0,73.7
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-08,585,0,67.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-09,689,0,65.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-10,689,0,52.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-11,689,3.7,36.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1986-12,689,2.2,30.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-01,0,6.8,25.6
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-02,0,1,29.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-03,0,5.9,39.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-04,6,1.3,51
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-05,126,0,64
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-06,348,0,72
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-07,694,0,76
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-08,921,0,71.1
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-09,978,0,64.2
USC00200230,"ANN ARBOR U OF MICH, MI US",1987-10,978,0.4,46.6
